"celltype","inj","time","n","pct"
"Pericyte","SpNT",36,35,62.8571428571429
"Repair fibroblast","SpNT",36,43,23.2558139534884
"Repair schwann_N","SpNT",36,123,42.2764227642276
"Satglia","SpNT",36,198,33.8383838383838
"Schwann_M","SpNT",36,225,13.3333333333333
"Schwann_N","SpNT",36,80,63.75
"SST","SpNT",36,79,83.5443037974684
"cLTMR1","SpNT",48,129,96.1240310077519
"Endothelial","SpNT",48,92,13.0434782608696
"Fibroblast","SpNT",48,119,30.2521008403361
"Macrophage","SpNT",48,115,26.9565217391304
"NF1","SpNT",48,328,93.2926829268293
"NF2","SpNT",48,231,92.6406926406926
"NF3","SpNT",48,60,98.3333333333333
"NP","SpNT",48,363,95.5922865013774
"p_cLTMR2","SpNT",48,114,94.7368421052632
"PEP1","SpNT",48,295,93.8983050847458
"PEP2","SpNT",48,140,82.8571428571429
"Repair fibroblast","SpNT",48,86,24.4186046511628
"Repair schwann_N","SpNT",48,209,46.88995215311
"Satglia","SpNT",48,109,36.697247706422
"Schwann_M","SpNT",48,161,15.527950310559
"Schwann_N","SpNT",48,43,72.0930232558139
"SST","SpNT",48,64,90.625
"cLTMR1","SpNT",72,206,94.6601941747573
"Endothelial","SpNT",72,63,26.984126984127
"Fibroblast","SpNT",72,69,49.2753623188406
"Macrophage","SpNT",72,120,32.5
"NF1","SpNT",72,335,94.3283582089552
"NF2","SpNT",72,348,93.1034482758621
"NF3","SpNT",72,37,89.1891891891892
"NP","SpNT",72,296,88.5135135135135
"p_cLTMR2","SpNT",72,45,84.4444444444444
"PEP1","SpNT",72,464,95.0431034482759
"PEP2","SpNT",72,307,89.5765472312704
"Repair fibroblast","SpNT",72,270,10.7407407407407
"Repair schwann_N","SpNT",72,139,25.8992805755396
"Satglia","SpNT",72,65,26.1538461538462
"Schwann_M","SpNT",72,58,20.6896551724138
"SST","SpNT",72,53,79.2452830188679
"cLTMR1","SpNT",168,42,80.9523809523809
"Endothelial","SpNT",168,46,26.0869565217391
"Fibroblast","SpNT",168,117,17.0940170940171
"Macrophage","SpNT",168,75,28
"NF1","SpNT",168,147,83.6734693877551
"NF2","SpNT",168,203,91.6256157635468
"NP","SpNT",168,197,81.2182741116751
"PEP1","SpNT",168,214,85.0467289719626
"PEP2","SpNT",168,128,85.9375
"Repair fibroblast","SpNT",168,204,6.86274509803922
"Repair schwann_N","SpNT",168,171,16.9590643274854
"Schwann_M","SpNT",168,73,8.21917808219178
"B cell","CFA",0,58,0
"cLTMR1","CFA",0,926,0.647948164146868
"Endothelial","CFA",0,528,0.378787878787879
"Fibroblast","CFA",0,1384,1.22832369942197
"Macrophage","CFA",0,159,0
"Neutrophil","CFA",0,52,0
"NF1","CFA",0,1509,0.331345261762757
"NF2","CFA",0,1548,0.839793281653747
"NF3","CFA",0,374,0.267379679144385
"NP","CFA",0,3042,0.591715976331361
"p_cLTMR2","CFA",0,562,1.06761565836299
"PEP1","CFA",0,1759,1.70551449687322
"PEP2","CFA",0,812,0.369458128078818
"Pericyte","CFA",0,171,1.16959064327485
"Satglia","CFA",0,1552,1.28865979381443
"Schwann_M","CFA",0,1075,0.558139534883721
"Schwann_N","CFA",0,658,3.64741641337386
"SST","CFA",0,659,1.82094081942337
"cLTMR1","CFA",48,56,0
"Endothelial","CFA",48,33,0
"Fibroblast","CFA",48,68,2.94117647058824
"NF1","CFA",48,266,1.8796992481203
"NF2","CFA",48,175,1.14285714285714
"NF3","CFA",48,35,0
"NP","CFA",48,299,0.334448160535117
"p_cLTMR2","CFA",48,33,0
"PEP1","CFA",48,209,1.43540669856459
"PEP2","CFA",48,98,0
"Satglia","CFA",48,131,4.58015267175572
"Schwann_M","CFA",48,128,0
"Schwann_N","CFA",48,65,7.69230769230769
"SST","CFA",48,62,0
"B cell","Paclitaxel",0,58,0
"cLTMR1","Paclitaxel",0,926,0.647948164146868
"Endothelial","Paclitaxel",0,528,0.378787878787879
"Fibroblast","Paclitaxel",0,1384,1.22832369942197
"Macrophage","Paclitaxel",0,159,0
"Neutrophil","Paclitaxel",0,52,0
"NF1","Paclitaxel",0,1509,0.331345261762757
"NF2","Paclitaxel",0,1548,0.839793281653747
"NF3","Paclitaxel",0,374,0.267379679144385
"NP","Paclitaxel",0,3042,0.591715976331361
"p_cLTMR2","Paclitaxel",0,562,1.06761565836299
"PEP1","Paclitaxel",0,1759,1.70551449687322
"PEP2","Paclitaxel",0,812,0.369458128078818
"Pericyte","Paclitaxel",0,171,1.16959064327485
"Satglia","Paclitaxel",0,1552,1.28865979381443
"Schwann_M","Paclitaxel",0,1075,0.558139534883721
"Schwann_N","Paclitaxel",0,658,3.64741641337386
"SST","Paclitaxel",0,659,1.82094081942337
"cLTMR1","Paclitaxel",168,242,1.2396694214876
"Fibroblast","Paclitaxel",168,51,0
"NF1","Paclitaxel",168,438,1.82648401826484
"NF2","Paclitaxel",168,323,0.309597523219814
"NF3","Paclitaxel",168,93,1.0752688172043
"NP","Paclitaxel",168,705,1.70212765957447
"p_cLTMR2","Paclitaxel",168,100,2
"PEP1","Paclitaxel",168,499,2.80561122244489
"PEP2","Paclitaxel",168,180,1.11111111111111
"Satglia","Paclitaxel",168,81,3.7037037037037
"SST","Paclitaxel",168,152,12.5
